Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Nonparametric coalescent inference of mutation spectrum history and demography.,DeWitt WS; Harris KD; Ragsdale AP; Harris K,"As populations boom and bust, the accumulation of genetic diversity is modulated, encoding histories of living populations in present-day variation. Many methods exist to decode these histories, and all must make strong model assumptions. It is typical to assume that mutations accumulate uniformly across the genome at a constant rate that does not vary between closely related populations. However, recent work shows that mutational processes in human and great ape populations vary across genomic regions and evolve over time. This perturbs the mutation spectrum (relative mutation rates in different local nucleotide contexts). Here, we develop theoretical tools in the framework of Kingman's coalescent to accommodate mutation spectrum dynamics. We present mutation spectrum history inference (mushi), a method to perform nonparametric inference of demographic and mutation spectrum histories from allele frequency data. We use mushi to reconstruct trajectories of effective population size and mutation spectrum divergence between human populations, identify mutation signatures and their dynamics in different human populations, and calibrate the timing of a previously reported mutational pulse in the ancestors of Europeans. We show that mutation spectrum histories can be placed in a well-studied theoretical setting and rigorously inferred from genomic variation data, like other features of evolutionary history.",2021,May,Proc Natl Acad Sci U S A,118,21,,,10.1073/pnas.2013798118,34016747,#28,DeWitt 2021,"",""
Pan-cancer analysis of the interplay between mutational signatures and cellular signaling.,Hakobyan A; Meyenberg M; Vardazaryan N; Hancock J; Vulliard L; Loizou JI; Menche J,"Cancer is a multi-faceted disease with intricate relationships between mutagenic processes, alterations in cellular signaling, and the tissue microenvironment. To date, these processes have been largely studied in isolation. A systematic understanding of how they interact and influence each other is lacking. Here, we present a framework for systematically characterizing the interaction between pairs of mutational signatures and between signatures and signaling pathway alterations. We applied this framework to large-scale data from TCGA and PCAWG and identified multiple positive and negative interactions, both cross֊tissue and tissue֊specific, that provide new insights into the molecular routes observed in tumorigenesis and their respective drivers. This framework allows for a more fine-grained dissection of common and distinct etiology of mutational signatures. We further identified several interactions with both positive and negative impacts on patient survival, demonstrating their clinical relevance and potential for improving personalized cancer care.",2024,Jun,iScience,27,6,109873,,10.1016/j.isci.2024.109873,38783997,#29,Hakobyan 2024,"",""
Evaluating topography of mutational signatures with SigProfilerTopography.,Otlu B; Alexandrov LB,"The mutations found in a cancer genome are shaped by diverse processes, each displaying a characteristic mutational signature that may be influenced by the genome's architecture. While prior analyses have evaluated the effect of topographical genomic features on mutational signatures, there has been no computational tool that can comprehensively examine this interplay. Here, we present SigProfilerTopography, a Python package that allows evaluating the effect of chromatin organization, histone modifications, transcription factor binding, DNA replication, and DNA transcription on the activities of different mutational processes. SigProfilerTopography elucidates the unique topographical characteristics of mutational signatures, unveiling their underlying biological and molecular mechanisms.",2024,Jan,bioRxiv,,,,,10.1101/2024.01.08.574683,38260507,#39,Otlu 2024,"",""
Evaluating topography of mutational signatures with SigProfilerTopography.,Otlu B; Alexandrov LB,"The mutations found in a cancer genome are shaped by diverse processes, each displaying a characteristic mutational signature that may be influenced by the genome's architecture. While prior analyses have evaluated the effect of topographical genomic features on mutational signatures, there has been no computational tool that can comprehensively examine this interplay. Here, we present SigProfilerTopography, a Python package that allows evaluating the effect of chromatin organization, histone modifications, transcription factor binding, DNA replication, and DNA transcription on the activities of different mutational processes. SigProfilerTopography elucidates the unique topographical characteristics of mutational signatures, unveiling their underlying biological and molecular mechanisms.",2025,May,Genome Biol,26,1,134,,10.1186/s13059-025-03612-8,40394581,#40,Otlu 2025,"",""
Cancer mutational signatures identification in clinical assays using neural embedding-based representations.,Yaacov A; Ben Cohen G; Landau J; Hope T; Simon I; Rosenberg S,"While mutational signatures provide a plethora of prognostic and therapeutic insights, their application in clinical-setting, targeted gene panels is extremely limited. We develop a mutational representation model (which learns and embeds specific mutation signature connections) that enables prediction of dominant signatures with only a few mutations. We predict the dominant signatures across more than 60,000 tumors with gene panels, delineating their landscape across different cancers. Dominant signature predictions in gene panels are of clinical importance. These included UV, tobacco, and apolipoprotein B mRNA editing enzyme, catalytic polypeptide (APOBEC) signatures that are associated with better survival, independently from mutational burden. Further analyses reveal gene and mutation associations with signatures, such as SBS5 with TP53 and APOBEC with FGFR3(S249C). In a clinical use case, APOBEC signature is a robust and specific predictor for resistance to epidermal growth factor receptor-tyrosine kinase inhibitors (EGFR-TKIs). Our model provides an easy-to-use way to detect signatures in clinical setting assays with many possible clinical implications for an unprecedented number of cancer patients.",2024,Jun,Cell Rep Med,5,6,101608,,10.1016/j.xcrm.2024.101608,38866015,#41,Yaacov 2024,"",""
Oncoprotein-specific molecular interaction maps (SigMaps) for cancer network analyses.,Broyde J; Simpson DR; Murray D; Paull EO; Chu BW; Tagore S; Jones SJ; Griffin AT; Giorgi FM; Lachmann A; Jackson P; Sweet-Cordero EA; Honig B; Califano A,"Tumor-specific elucidation of physical and functional oncoprotein interactions could improve tumorigenic mechanism characterization and therapeutic response prediction. Current interaction models and pathways, however, lack context specificity and are not oncoprotein specific. We introduce SigMaps as context-specific networks, comprising modulators, effectors and cognate binding-partners of a specific oncoprotein. SigMaps are reconstructed de novo by integrating diverse evidence sources-including protein structure, gene expression and mutational profiles-via the OncoSig machine learning framework. We first generated a KRAS-specific SigMap for lung adenocarcinoma, which recapitulated published KRAS biology, identified novel synthetic lethal proteins that were experimentally validated in three-dimensional spheroid models and established uncharacterized crosstalk with RAB/RHO. To show that OncoSig is generalizable, we first inferred SigMaps for the ten most mutated human oncoproteins and then for the full repertoire of 715 proteins in the COSMIC Cancer Gene Census. Taken together, these SigMaps show that the cell's regulatory and signaling architecture is highly tissue specific.",2021,Feb,Nat Biotechnol,39,2,215-224,,10.1038/s41587-020-0652-7,32929263,#60,Broyde 2021,"",""
Single-cell analysis of structural variations and complex rearrangements with tri-channel processing.,Sanders AD; Meiers S; Ghareghani M; Porubsky D; Jeong H; van Vliet MACC; Rausch T; Richter-Pechańska P; Kunz JB; Jenni S; Bolognini D; Longo GMC; Raeder B; Kinanen V; Zimmermann J; Benes V; Schrappe M; Mardin BR; Kulozik AE; Bornhauser B; Bourquin JP; Marschall T; Korbel JO,"Structural variation (SV), involving deletions, duplications, inversions and translocations of DNA segments, is a major source of genetic variability in somatic cells and can dysregulate cancer-related pathways. However, discovering somatic SVs in single cells has been challenging, with copy-number-neutral and complex variants typically escaping detection. Here we describe single-cell tri-channel processing (scTRIP), a computational framework that integrates read depth, template strand and haplotype phase to comprehensively discover SVs in individual cells. We surveyed SV landscapes of 565 single cells, including transformed epithelial cells and patient-derived leukemic samples, to discover abundant SV classes, including inversions, translocations and complex DNA rearrangements. Analysis of the leukemic samples revealed four times more somatic SVs than cytogenetic karyotyping, submicroscopic copy-number alterations, oncogenic copy-neutral rearrangements and a subclonal chromothripsis event. Advancing current methods, single-cell tri-channel processing can directly measure SV mutational processes in individual cells, such as breakage-fusion-bridge cycles, facilitating studies of clonal evolution, genetic mosaicism and SV formation mechanisms, which could improve disease classification for precision medicine.",2020,Mar,Nat Biotechnol,38,3,343-354,,10.1038/s41587-019-0366-x,31873213,#66,Sanders 2020,"",""
Population sequencing data reveal a compendium of mutational processes in the human germ line.,Seplyarskiy VB; Soldatov RA; Koch E; McGinty RJ; Goldmann JM; Hernandez RD; Barnes K; Correa A; Burchard EG; Ellinor PT; McGarvey ST; Mitchell BD; Vasan RS; Redline S; Silverman E; Weiss ST; Arnett DK; Blangero J; Boerwinkle E; He J; Montgomery C; Rao DC; Rotter JI; Taylor KD; Brody JA; Chen YI; de las Fuentes L; Hwu CM; Rich SS; Manichaikul AW; Mychaleckyj JC; Palmer ND; Smith JA; Kardia SLR; Peyser PA; Bielak LF; O'Connor TD; Emery LS; Gilissen C; Wong WSW; Kharchenko PV; Sunyaev S,"Biological mechanisms underlying human germline mutations remain largely unknown. We statistically decompose variation in the rate and spectra of mutations along the genome using volume-regularized nonnegative matrix factorization. The analysis of a sequencing dataset (TOPMed) reveals nine processes that explain the variation in mutation properties between loci. We provide a biological interpretation for seven of these processes. We associate one process with bulky DNA lesions that are resolved asymmetrically with respect to transcription and replication. Two processes track direction of replication fork and replication timing, respectively. We identify a mutagenic effect of active demethylation primarily acting in regulatory regions and a mutagenic effect of long interspersed nuclear elements. We localize a mutagenic process specific to oocytes from population sequencing data. This process appears transcriptionally asymmetric.",2021,Aug,Science,373,6558,1030-1035,,10.1126/science.aba7408,34385354,#86,Seplyarskiy 2021,"",""
Patient-specific computational models predict prognosis in B cell lymphoma by quantifying pro-proliferative and anti-apoptotic signatures from genetic sequencing data.,Norris R; Jones J; Mancini E; Chevassut T; Simoes FA; Pepper C; Pepper A; Mitchell S,"Genetic heterogeneity and co-occurring driver mutations impact clinical outcomes in blood cancers, but predicting the emergent effect of co-occurring mutations that impact multiple complex and interacting signalling networks is challenging. Here, we used mathematical models to predict the impact of co-occurring mutations on cellular signalling and cell fates in diffuse large B cell lymphoma and multiple myeloma. Simulations predicted adverse impact on clinical prognosis when combinations of mutations induced both anti-apoptotic (AA) and pro-proliferative (PP) signalling. We integrated patient-specific mutational profiles into personalised lymphoma models, and identified patients characterised by simultaneous upregulation of anti-apoptotic and pro-proliferative (AAPP) signalling in all genomic and cell-of-origin classifications (8-25% of patients). In a discovery cohort and two validation cohorts, patients with upregulation of neither, one (AA or PP), or both (AAPP) signalling states had good, intermediate and poor prognosis respectively. Combining AAPP signalling with genetic or clinical prognostic predictors reliably stratified patients into striking prognostic categories. AAPP patients in poor prognosis genetic clusters had 7.8 months median overall survival, while patients lacking both features had 90% overall survival at 120 months in a validation cohort. Personalised computational models enable identification of novel risk-stratified patient subgroups, providing a valuable tool for future risk-adapted clinical trials.",2024,Jul,Blood Cancer J,14,1,105,,10.1038/s41408-024-01090-y,38965209,#90,Norris 2024,"",""
Detecting HRD in whole-genome and whole-exome sequenced breast and ovarian cancers.,Abbasi A; Steele CD; Bergstrom EN; Khandekar A; Farswan A; Mckay RR; Pillay N; Alexandrov LB,"Breast and ovarian cancers harboring homologous recombination deficiency (HRD) are sensitive to PARP inhibitors and platinum chemotherapy. Conventionally, detecting HRD involves screening for defects in BRCA1, BRCA2, and other relevant genes. Recent analyses have shown that HRD cancers exhibit characteristic mutational patterns due to the activities of HRD-associated mutational signatures. At least three machine learning tools exist for detecting HRD based on mutational patterns. Here, using sequencing data from 1,043 breast and 182 ovarian cancers, we trained Homologous Recombination Proficiency Profiler (HRProfiler), a machine learning method for detecting HRD using six mutational features. HRProfiler's performance is assessed against prior approaches using additional independent datasets of 417 breast and 115 ovarian cancers, including retrospective data from a clinical trial involving patients treated with PARP inhibitors. Our results demonstrate that HRProfiler is the only tool that robustly and consistently predicts clinical response from whole-exome sequenced breast and ovarian cancers.",2024,Jul,medRxiv,,,,,10.1101/2024.07.14.24310383,39040162,#100,Abbasi 2024,"",""
The mutagenic impact of melphalan in multiple myeloma.,Maura F; Weinhold N; Diamond B; Kazandjian D; Rasche L; Morgan G; Landgren O,"The introduction of whole genome and exome sequencing partnered with advanced bioinformatic pipelines has allowed the comprehensive characterization of mutational processes (i.e., mutational signatures) in individual cancer patients. Studies focusing on multiple myeloma have defined several mutational processes, including a recently identified mutational signature (called ""SBS-MM1"") directly caused by exposure to high-dose melphalan (i.e., autologous stem cell transplant). High-dose melphalan exposure increases both the overall and nonsynonymous mutational burden detected between diagnosis and relapse by ~10-20%. Nevertheless, most of these mutations are acquired within the heterochromatin and late-replicating regions, rarely involving key myeloma driver genes. In this review, we summarize key studies that made this discovery possible, and we discuss potential clinical implications.",2021,Aug,Leukemia,35,8,2145-2150,,10.1038/s41375-021-01293-3,34012133,#104,Maura 2021,"",""
The Functional Transcriptomic Landscape Informs Therapeutic Strategies in Multiple Myeloma.,Sudalagunta PR; Canevarolo RR; Meads MB; Silva M; Zhao X; Cubitt CL; Sansil SS; DeAvila G; Alugubelli RR; Bishop RT; Tungesvik A; Zhang Q; Hampton O; Teer JK; Welsh EA; Yoder SJ; Shah BD; Hazlehurst L; Gatenby RA; Van Domelen DR; Chai Y; Wang F; DeCastro A; Bloomer AM; Siegel EM; Lynch CC; Sullivan DM; Alsina M; Nishihori T; Brayer J; Cleveland JL; Dalton W; Walker CJ; Landesman Y; Baz R; Silva AS; Shain KH,"Several therapeutic agents have been approved for treating multiple myeloma, a cancer of bone marrow-resident plasma cells. Predictive biomarkers for drug response could help guide clinical strategies to optimize outcomes. In this study, we present an integrated functional genomic analysis of tumor samples from patients multiple myeloma that were assessed for their ex vivo drug sensitivity to 37 drugs, clinical variables, cytogenetics, mutational profiles, and transcriptomes. This analysis revealed a multiple myeloma transcriptomic topology that generates ""footprints"" in association with ex vivo drug sensitivity that have both predictive and mechanistic applications. Validation of the transcriptomic footprints for the anti-CD38 mAb daratumumab (DARA) and the nuclear export inhibitor selinexor (SELI) demonstrated that these footprints can accurately classify clinical responses. The analysis further revealed that DARA and SELI have anticorrelated mechanisms of resistance, and treatment with a SELI-based regimen immediately after a DARA-containing regimen was associated with improved survival in three independent clinical trials, supporting an evolutionary-based strategy involving sequential therapy. These findings suggest that this unique repository and computational framework can be leveraged to inform underlying biology and to identify therapeutic strategies to improve treatment of multiple myeloma. Significance: Functional genomic analysis of primary multiple myeloma samples elucidated predictive biomarkers for drugs and molecular pathways mediating therapeutic response, which revealed a rationale for sequential therapy to maximize patient outcomes.",2025,Jan,Cancer Res,85,2,378-398,,10.1158/0008-5472.CAN-24-0886,39476082,#105,Sudalagunta 2025,"",""
Using FFPEsig to Remove Formalin-Induced Artifacts and Characterize Mutational Signatures in Cancer.,Guo Q; Baker AM; Mustonen V; Graham TA,"The wealth of routinely processed formalin-fixed and paraffin-embedded (FFPE) cancer biopsies is potentially a tremendous resource for cancer genomics research. However, the presence of formalin-induced artifactual mutations in FFPE material can confound mutational analyses. Our de-noising algorithm, FFPEsig, removes FFPE-related artifactual mutations enabling the inference of biological mutational signatures. In this chapter, we focus on the practical use of FFPEsig, offering a detailed guidance from both the wet-lab experimental and bioinformatics analysis perspectives. Our aim is to assist users to generate robust and significant results using FFPEsig.",2025,,Methods Mol Biol,2932,,125-136,,10.1007/978-1-0716-4566-6_6,40779107,#118,Guo 2025,"",""
LACE 2.0: an interactive R tool for the inference and visualization of longitudinal cancer evolution.,Ascolani G; Angaroni F; Maspero D; Craighero F; Bhavesh NLS; Piazza R; Damiani C; Ramazzotti D; Antoniotti M; Graudenzi A,"BACKGROUND: Longitudinal single-cell sequencing experiments of patient-derived models are increasingly employed to investigate cancer evolution. In this context, robust computational methods are needed to properly exploit the mutational profiles of single cells generated via variant calling, in order to reconstruct the evolutionary history of a tumor and characterize the impact of therapeutic strategies, such as the administration of drugs. To this end, we have recently developed the LACE framework for the Longitudinal Analysis of Cancer Evolution. RESULTS: The LACE 2.0 release aimed at inferring longitudinal clonal trees enhances the original framework with new key functionalities: an improved data management for preprocessing of standard variant calling data, a reworked inference engine, and direct connection to public databases. CONCLUSIONS: All of this is accessible through a new and interactive Shiny R graphical interface offering the possibility to apply filters helpful in discriminating relevant or potential driver mutations, set up inferential parameters, and visualize the results. The software is available at: github.com/BIMIB-DISCo/LACE.",2023,Mar,BMC Bioinformatics,24,1,99,,10.1186/s12859-023-05221-3,36932333,#119,Ascolani 2023,"",""
Recent Advances in Pathology: the 2022 Annual Review Issue of The Journal of Pathology.,Herrington CS; Poulsom R; Pillay N; Bankhead P; Coates PJ,"The 2022 Annual Review Issue of The Journal of Pathology, Recent Advances in Pathology, contains 15 invited reviews on research areas of growing importance in pathology. This year, the articles include those that focus on digital pathology, employing modern imaging techniques and software to enable improved diagnostic and research applications to study human diseases. This subject area includes the ability to identify specific genetic alterations through the morphological changes they induce, as well as integrating digital and computational pathology with 'omics technologies. Other reviews in this issue include an updated evaluation of mutational patterns (mutation signatures) in cancer, the applications of lineage tracing in human tissues, and single cell sequencing technologies to uncover tumour evolution and tumour heterogeneity. The tissue microenvironment is covered in reviews specifically dealing with proteolytic control of epidermal differentiation, cancer-associated fibroblasts, field cancerisation, and host factors that determine tumour immunity. All of the reviews contained in this issue are the work of invited experts selected to discuss the considerable recent progress in their respective fields and are freely available online (https://onlinelibrary.wiley.com/journal/10969896). © 2022 The Pathological Society of Great Britain and Ireland. Published by John Wiley & Sons, Ltd.",2022,Jul,J Pathol,257,4,379-382,,10.1002/path.5972,35635736,#121,Herrington 2022,"",""
Prognosis and Personalized Treatment Prediction in Different Mutation-Signature Hepatocellular Carcinoma.,Zhang Y; Liu Z; Li J; Li X; Duo M; Weng S; Lv P; Jiang G; Wang C; Li Y; Liu S; Li Z,"INTRODUCTION: Mutation patterns have been extensively explored to decipher the etiologies of hepatocellular carcinoma (HCC). However, the study and potential clinical role of mutation patterns to stratify high-risk patients and optimize precision therapeutic strategies remain elusive in HCC. METHODS: Using exon-sequencing data in public (n=362) and in-house (n=30) cohorts, mutation signatures were extracted to decipher relationships with the etiology and prognosis in HCC. The proteomics (n=159) and cell-line transcriptome data (n=1019) were collected to screen the implication of sensitive drugs. A novel multi-step machine-learning framework was then performed to construct a classification predictor, including recognizing stable reversed gene pairs, establishing a robust prediction model, and validating the robustness of the predictor in five independent cohorts (n=900). RESULTS: Two heterogeneous mutation signature clusters were identified, and a high-risk prognosis cluster was recognized for further analysis. Notably, mutation signature cluster 1 (MSC1) was featured by activated anti-tumor immune and metabolism dysfunctional states, higher genomic instability (high TMB, SNV neoantigen, indel neoantigens, and total neoantigens), and a dismal prognosis. Notably, MSC performed as an independent risk factor than clinical traits (eg, stage, vascular invasion). Additionally, afatinib and canertinib were recognized which might have potential therapeutic implications in MSC1, and the targets of these drugs presented a higher expression in both gene and protein levels in HCC. DISCUSSION: Our studies may provide a promising platform for improving prognosis and tailoring therapy in HCC.",2023,,J Hepatocell Carcinoma,10,,241-255,,10.2147/JHC.S398431,36815095,#124,Zhang 2023,"",""
